input,expected
"""Can you provide details on the Post Matric Scholarship for Students with Disabilities?""","""Post Matric Scholarship Students With Disabilities: This scheme aims to provide financial support to students with disabilities for their post-matric education. It outlines scholarship amounts, eligibility criteria, the application process, and the necessary documentation."""
"""What is the National Youth Corps scheme?""","""National Youth Corps: This initiative is designed to engage young people in developmental activities. It provides opportunities for skill development, training programs, and job placements, along with clear eligibility criteria, application procedures, and required documentation."""
"""Tell me about the Pre Matric Scholarship for Scheduled Tribe Students.""","""Pre Matric Scholarship For Scheduled Tribe Students: This scheme offers financial assistance to Scheduled Tribe students before matriculation. It details scholarship benefits, eligibility requirements, application procedures, and necessary documentation."""
"""I need information on Top Class Education for Scheduled Caste Students.""","""Top Class Education For Scheduled Caste Students: This scheme is aimed at providing quality education to Scheduled Caste students through scholarships and financial assistance. It includes clear eligibility guidelines, application processes, and required documentation."""
"""What does the Skill Loan Scheme offer?""","""Skill Loan Scheme: This scheme provides financial loans to individuals seeking to enhance their skills through training programs. It explains eligibility criteria, loan details, the application process, and the documents required."""
"""Can you give details about the Scheme for Financial Assistance for Veteran Artists?""","""Scheme For Financial Assistance For Veteran Artists: This initiative offers monetary support to veteran artists. It covers eligibility requirements, the application process, benefits provided, and the necessary documentation."""
"""What is the Nikshay Poshan Yojana?""","""Nikshay Poshan Yojana (Nutritional Support To TB Patients): This scheme provides nutritional support to tuberculosis patients to aid their recovery. It details eligibility, the application process, benefits, and the required documentation."""
"""Could you explain the Health Minister’s Discretionary Grant?""","""Health Minister’s Discretionary Grant: This grant offers financial assistance at the discretion of the Health Minister for health emergencies. It includes information on eligibility criteria, the application process, and documentation requirements."""
"""What information is available on the Indian Community Welfare Fund?""","""Indian Community Welfare Fund: This fund supports community welfare initiatives across India. The scheme outlines eligibility criteria, application procedures, and the required documentation for beneficiaries."""
"""Tell me about the Financial Assistance Under The National Fund For Persons With Disabilities.""","""Financial Assistance Under The National Fund For Persons With Disabilities: This scheme provides monetary support to persons with disabilities. It explains the eligibility criteria, application process, benefits, and necessary documentation."""
"""What is the Pradhan Mantri Garib Kalyan Anna Yojana?""","""Pradhan Mantri Garib Kalyan Anna Yojana: This scheme aims to provide subsidized food and essential supplies to economically weaker sections. It includes details on eligibility, benefits, application procedures, and required documentation."""
"""I need details on the Central Assistance for One Time Settlement of Displaced Families from PoK and Chhamb.""","""Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package: This scheme assists displaced families with settlement support. It provides information on eligibility, the application process, benefits, and the required documents."""
"""Can you provide information on the Janani Shishu Suraksha Karyakram?""","""Janani Shishu Suraksha Karyakram: This initiative focuses on the health and well-being of mothers and newborns. It offers financial assistance for delivery and postnatal care and explains eligibility, application procedures, and necessary documentation."""
"""What is the NBCFDC General Loan Scheme all about?""","""NBCFDC General Loan Scheme: This scheme offers general loans to eligible beneficiaries for various purposes. It outlines the eligibility criteria, interest rates, application process, and required documentation."""
"""Please provide details on the National Family Benefit Scheme.""","""National Family Benefit Scheme: This scheme provides financial assistance to families in distress. It details the eligibility guidelines, application process, the benefits offered, and the necessary documentation."""
"""What does the National Apprenticeship Promotion Scheme-2 entail?""","""National Apprenticeship Promotion Scheme-2: This scheme promotes apprenticeship opportunities across various industries. It includes details on eligibility, benefits, application processes, and required documents for applicants."""
"""Can you explain the Rastriya Arogya Nidhi - Health Minister’s Cancer Patient Fund?""","""Rastriya Arogya Nidhi - Health Minister’s Cancer Patient Fund: This scheme provides financial aid to cancer patients. It details eligibility criteria, the application process, benefits, and the necessary documentation."""
"""Tell me about the One Nation One Ration Card scheme.""","""One Nation One Ration Card: This initiative aims to provide a unified ration card system for seamless access to subsidized food across India. It explains eligibility, the application process, benefits, and required documentation."""
"""What is the Jal Jeevan Mission?""","""Jal Jeevan Mission: This mission focuses on providing safe and adequate drinking water to every household. It details the eligibility criteria, implementation procedures, benefits, and required documentation."""
"""Could you provide details on the Credit Enhancement Guarantee Scheme for the Scheduled Castes?""","""Credit Enhancement Guarantee Scheme For The Scheduled Castes: This scheme is designed to improve access to credit for Scheduled Castes by providing a guarantee support mechanism. It outlines eligibility criteria, the application process, benefits, and required documentation."""
"""What does the Pradhan Mantri Kaushal Vikas Yojana - Recognition Of Prior Learning offer?""","""Pradhan Mantri Kaushal Vikas Yojana - Recognition Of Prior Learning: This scheme recognizes and certifies prior skills and learning to enhance employability. It includes details on eligibility, benefits, the application process, and necessary documents."""
"""I need information on the Pradhan Mantri Kaushal Vikas Yojana - Short Term Training scheme.""","""Pradhan Mantri Kaushal Vikas Yojana - Short Term Training: This scheme provides short-term training programs aimed at enhancing skill sets. It outlines eligibility, benefits, the application process, and required documentation."""
